No.,Meaning,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
154,dig,grawe,gërmoj,փորել,খনন করা,kopati,копай,cavar,kopati,kopat,grave,graven,dig,creuser,cavar,graben,σκάβω,ખોદવું,गड्ढा करना,grafa,tochail,scavare,rakt,kasti,копаат,खोदणे,खन्नु,grave,کیندل,حفر کردن,kopać,escavar,a săpa,копать,копати,හාරනවා,kopať,kopati,cavar,gräva,копати,کھودنا,cloddio
155,turn,draai,rrotulloj,պտտվել,বাঁক,skrenuti,завъртете,girar,skrenuti,otočit,dreje,draai,turn,tourner,quenda,wenden,στρέφω,વળાંક,मुड़ना,snúa,cas,girare,pagriezt,pasukti,врти,वळण,घुमाउनु,svinge,ګرځول,چرخیدن,skręcać,virar,a întoarce,поворачивать,скренути,හැරෙනවා,otočiť,obrniti,girar,svänga,поворот,موڑ,troi
156,fall (drop),val,bie,ընկնել,পড়া,pasti,падне,caure,pasti,spadnout,falde,val,fall,tomber,caer,fallen,πέφτω,પડવું,गिरना,detta,tit,cadere,krist,kristi,падне,पडणे,झर्नु,falle,لوېدل,سقوط کردن,upaść,cair,cădea,падать,пасти,බිංදුව,spadnúť,pasti,caer,falla,падати,گرنا,disgyn
157,hold,hou,mbaj,պահել,ধরা,držati,предприеме,prendre,držati,držet,tage,nemen,hold,prendre,tomar,nehmen,παίρνω,લો,लेना,taka,coinnigh,prendere,ņemt,laikyti,држи,घेणे,समाउनु,holde,واخله,در دست داشتن,brać,levar,a lua,брать,узети,ගන්නවා,držať,vzeti,tomar,hålla,тримати,پکڑ نا,cymryd
158,squeeze,druk,shtrydh,ճզմել,চিপা করা,stisnuti,стиснете,apretar,iscijediti,stisknout,presse,knijpen,squeeze,presser,apertar,quetschen,ζουλάω,સ્વીઝ,निचोड़ना,kreista,fáisceadh,spremere,spiest,suspausti,стиска,पिळणे,निचोड,klemme,پچقول,فشار دادن,ściskać,apertar,a stoarce,сжимать,стиснути,පොර බඳිනවා,stlačiť,stisniti,estrujar,klämma,стиснути,نچوڑنا,gwasgu
159,rub,vryf,fshij,սրբել,ঘষা,trljati,търкайте,fregar,trljati,třít,gnide,wrijven,rub,frotter,fregar,reiben,τρίβω,ઘસવું,रगड़ना,nudda,chuimil,strofinare,berzt,trinti,тријте,घासणे,घिसाउनु,gni,سولول,مالیدن,pocierać,esfregar,a freca,тереть,обрисати,අතුල්ලනවා,trieť,drgniti,frotar,gnugga,витирати,رگڑنا,rhwbio
160,wash,was,laj,լվացել,ধোয়া,prati,мия,rentar,prati,umýt,vaske,wassen,wash,laver,lavar,waschen,πλύνω,ધોવું,धोना,þvo,nigh,lavare,mazgāt,plauti,мие,धुणे,धुनु,vaske,وینځل,شستن,myć się,lavar,a se spala,стирать,опрати,හෝදනවා,umyť,umiti,lavar,tvätta,мити,دھونا,golchi
161,defecate,ontlas,defektoj,կեղտոտել,মলত্যাগ,srati,дефекация,defecar,srati,vykálet se,defækere,poepen,defecate,se soulager,defecar,koten,αφοδεύω,શૌચ,मलत्याग करना,kúka,fág,defecare,izkārnīties,tuštintis,врши нужда,शौचास,शौच,gjøre avføring,خارښ,مدفوع خارج کردن,oczyścić,defecar,a defeca,испражняться,вршити нужду,මලපහ කරනවා,vyprázdniť sa,kakati,defecar,bajsar,випорожнюватися,پاخانہ,cachu
162,pull,trek,tërheq,քաշել,টান,vući,дръпнете,estirar,vući,táhnout,trække,trekken,pull,tirer,tirar,ziehen,τραβάω,ખેંચો,खींचना,draga,tarraing,tirare,vilkt,traukti,повлечете,ओढणे,तान्ने,dra,کشول,کشیدن,ciągnąć,puxar,a trage,тянуть,повући,අදිනවා,ťahať,uleči,tirar,dra,тягнути,کھینچنا,tynnu
163,push,stoot,shtyj,հրել,ধাক্কা,gurati,натискам,empènyer,gurnuti,tlačit,skubbe,duw,push,pousser,empurrar,drücken,σπρώχνω,દબાણ,बाहर निकालना,ýta,brúigh,spingere,grūst,stumti,туркање,ढकलणे,धकेल्ने,dytte,ټیله کول,فشار دادن,naciskać,empurrar,a împinge,толкать,гурати,තල්ලු කරනවා,tlaciť,riniti,empujar,trycka,штовхати,دھکیلنا,gwthio
164,throw,gooi,hedh,նետել,নিক্ষেপ,baciti,хвърлям,llançar,bacati,házet,kaste,gooi,throw,jeter,lanzar,werfen,ρίχνω,ફેંકવું,फेंकना,kasta,caith,gettare,mest,mesti,фрли,फेकणे,फ्यांक्नु,kaste,اچول,پرتاب كردن,rzucić,jogar,a arunca,бросать,бацити,විසි කරනවා,hodiť,vreči,tirar,kasta,кидати,پھینکنا,ergydio
165,tie,bind,lidh,կապել,বন্ধন করা,vezati,връзвам,lligar,vezati,vázat,binde,binden,tie,nouer,gravata,binden,δένω,બાંધવું,बाँधना,binda,ceangail,legare,sasiet,rišti,вратоврска,बांधणे,बाध्नु,knyte,تړل,گره زدن,związać,amarrar,a lega,связывать,везати,ගැටලනවා,viazať,kravata,anudar,knyta,краватка,باندهنا,clymu
166,sew,naaldwerk,qep,կարել,সেলাই,šiti,шият,cosir,sašiti,šít,sy,naaien,sew,coudre,coser,nähen,ράβω,સીવવું,सिलना,sauma,fuaigh,cucire,šūt,siūti,шие,शिवणे,सिलाई,sy,ګنډل,دوختن,szyć,costurar,a coase,шить,шивати,මහනවා,šiť,šivati,coser,sy,шити,سلائی,gwnio
167,count,tel,numëroj,հաշվել,গণনা,brojati,броя,comptar,računati,počítat,tælle,graaf,count,compter,contar,zahlen,μετρώ,ગણતરી,गिनना,telja,comhair,contare,skaitīt,skaičiuoti,брои,मोजणे,गणना गर्नु,telle,شمیرل,شمردن,liczyć,contar,a număra,считать,бројати,ගණන් කරනවා,počítať,šteti,contar,räkna,рахувати,گنتی,rhifo
168,sing,sing,këndoj,երգել,গাওয়া,pjevati,пеят,cantar,pjevati,zpívat,synge,zingen,sing,chanter,cantar,singen,τραγουδώ,ગાઓ,गाना,syngja,can,cantare,dziedāt,dainuoti,пее,गाणे,गाउनु,synge,سندرې ویل,آواز خواندن,śpiewać,cantar,a cânta,петь,певати,ගායනා කරනවා,spievať,peti,cantar,sjunga,співати,گانا,canu
169,play,speel,luaj,խաղալ,খেলা,igrati,играй,jugar,igrati,hrát,spille,speel,play,jouer,xogar,spielen,παίζω,રમ,खेलना,leika,imir,giocare,spēlēt,žaisti,играјте,खेळणे,खेल्नु,spille,لوبه,بازی کردن,bawić się,tocar,a juca,играть,играти,සෙල්ලම් කරනවා,hrať,igrati,jugar,spela,грати,کهیلنا,chwarae
170,float,dryf,pluskoj,լողալ,ভাসা,plutati,плува,flotar,plutati,plout,flyde,vlot,float,flotter,flotar,schweben,επιπλέω,ફ્લોટ,उतराना,fljóta,snámh,galleggiare,peldēt,plūduriuoti,плови,फ्लोट,तैरनु,flyte,پاشل,شناور شدن,unosić się,flutuar,a floa,плыть,плутати,පාවෙනවා,plávať,lebdeti,flotar,flyta,плавати,تیرنا,arnofio
171,flow,vloei,rrjedh,հոսել,প্রবাহ,teći,поток,fluir,teći,téct,flyde,stroom,flow,couler,fluir,flüssen,χύνομαι,પ્રવાહ,बहना,flæði,rith,fluire,tecēt,tekėti,проток,प्रवाह,प्रवाह,strømme,بهېدل,روان شدن,pływ,fluir,a curge,течь,протећи,ගලා යනවා,prúdiť,teči,fluir,rinna,потік,بہاؤ,dylifo
172,freeze,vries,ngrij,սառել,বরফে পরিণত করা,zamrznuti,замръзвам,congelar,zamrznuti,zmrazit,fryse,bevriezen,freeze,geler,xear,einfrieren,παγώνω,સ્થિર,जम जाना,frysta,reoigh,congelare,iesaldēt,šalti,замрзнува,फ्रीझ,जम्नु,fryse,کنګل,یخ بستن,zamrażać,congelar,a îngheţa,замораживать,замрзнути,කැටි කරනවා,zmraziť,zamrzniti,congelar,frysa,замерзнути,منجمد,fferru
173,swell,swel,bymehet,ուռչել,চিতান,nabubriti,набъбват,inflar,nabubriti,otéct,svulme,zwellen,swell,gonfler,inchar,anschwellen,πρήζομαι,ફૂલવું,सूजना,bólga,at,gonfiare,uzpampt,tinti,отече,फुगणे,फुल्नु,hovne opp,پړسول,متورم شدن,puchnąć,inchar,a umfla,зыбь,натећи,ඉදිමෙනවා,opuchnúť,zateči,hinchar,svälla,набухати,پھولنا,chwydoo
174,river,rivier,lumë,գետ,নদী,rijeka,река,riu,rijeka,řeka,flod,rivier,river,fleuve,río,Fluss,ποτάμι,નદી,नदी,á,abhainn,fiume,upe,upė,река,नदी,नदी,elv,سیند,رودخانه,rzeka,rio,râu,река,река,ගඟ,rieka,reka,río,flod,річка,دریا,afon
175,lake,meer,liqen,լիճ,হ্রদ,jezero,езеро,llac,jezero,jezero,sø,meer,lake,lac,lago,See,λίμνη,તળાવ,झील,vatn,loch,lago,ezers,ežeras,езеро,सरोवर,ताल,innsjø,جهيل,دریاچه,jezioro,lago,lac,озеро,језеро,විල,jazero,jezero,lago,sjö,озеро,جھیل,llyn
176,sea,see,det,ծով,সমুদ্র,more,море,mar,more,moře,hav,zee,sea,mer,mar,Meer,θάλασσα,સમુદ્ર,समुद्र,sjó,farraige,mare,jūra,jūra,морето,समुद्र,समुन्द्र,hav,سمندر,دریا,morze,mar,mare,море,море,මුහුද,more,morje,mar,hav,море,سمندر,môr
177,salt,sout,kripë,աղ,লবণ,so,сол,sal,sol,sůl,salt,zout,salt,sel,sal,Salz,αλάτι,મીઠું,नमक,salt,salann,sale,sāls,druska,сол,मीठ,नुन,salt,مالګه,نمک,sól,sal,sare,соль,со,ලුණු,soľ,sol,sal,salt,сіль,نمک,halen
178,dust,stof,pluhur,փոշի,ধুলো,prašina,прах,pols,prah,prach,støv,stof,dust,poussière,po,Staub,σκόνη,ધૂળ,धूल,ryk,deannach,polvere,putekļi,dulkės,прашина,धूळ,धूलो,støv,خاوره,گرد و خاک,pył,pó,praf,пыль,прашина,දුවිලි,prach,prah,polvo,damm,пил,دھول,llwch
179,fog,mis,mjegull,մառախուղ,কুয়াশা,magla,мъгла,boira,magla,mlha,tåge,mist,fog,brouillard,néboa,Nebel,ομίχλη,ધુમ્મસ,कोहरा,þoka,ceo,nebbia,migla,rūkas,магла,धुके,कुहिरो,tåke,ورګ,مه,mgła,névoa,ceaţă,туман,магла,මීදුම,hmla,megla,niebla,dimma,туман,دھند,niwl
180,day,dag,ditë,օր,দিন,dan,ден,dia,dan,den,dag,dag,day,journée,día,Tag,ημέρα,દિવસ,दिन,dagur,lá,giorno,diena,diena,ден,दिवस,दिन,dag,ورځ,روز,dzień,dia,zi,день,дан,දවස,deň,dan,día,dag,день,دن,dydd
181,sky,lug,qiell,երկինք,আকাশ,nebo,небето,cel,nebo,nebe,himmel,lucht,sky,ciel,ceo,Himmel,ουρανός,આકાશ,आकाश,himinn,spéir,cielo,debesis,dangus,небото,आकाश,आकाश,himmel,اسمان,آسمان,niebo,céu,cer,небо,небо,අහස,obloha,nebo,cielo,himmel,небо,آسمان,wybr
182,wind,wind,erë,քամի,বায়ু,vjetar,вятър,vent,vjetar,vítr,vind,wind,wind,vent,vento,Wind,άνεμος,પવન,हवा,vindur,gaoth,vento,vējš,vėjas,ветер,वारा,हावा,vind,باد,باد,wiatr,vento,vânt,ветер,ветар,සුළඟ,vietor,veter,viento,vind,вітер,ہوا,gwynt
183,snow,sneeu,borë,ձյուն,তুষার,snijeg,сняг,neu,snijeg,sníh,sne,sneeuw,snow,neige,neve,Schnee,χιόνι,બરફ,बर्फ,snjór,sneachta,neve,sniegs,sniegas,снег,बर्फ,हिउँ,snø,واوره,برف,śnieg,neve,zăpadă,снег,снег,හිම,sneh,sneg,nieve,snö,сніг,برف,eira
184,ice,ys,akull,սառույց,বরফ,led,лед,gel,led,led,is,ijs,ice,glace,xeo,Eis,πάγος,બરફ,बर्फ,ís,oighear,ghiaccio,ledus,ledas,мраз,बर्फ,बरफ,is,یخ,یخ,lód,gelo,gheaţă,лёд,лед,අයිස්,ľad,led,hielo,is,лід,برف,rhew
185,year,jaar,vit,տարի,বছর,godina,година,curs,godina,rok,år,jaar,year,année,ano,Jahr,έτος,વર્ષ,साल,ár,bliain,anno,gads,metai,година,वर्ष,वर्ष,år,کال,سال,rok,ano,an,год,година,අවුරුද්ද,rok,leto,año,år,рік,سال,blwydd
186,warm,warm,i ngrohtë,տաք,উষ্ণ,topao,топло,càlid,topao,teplý,varm,warm,warm,chaud,quente,warm,ζεστός,ગરમ,गरम,hlýr,te,comodo,silts,šiltas,топло,उबदार,न्यानो,varm,ګرم,گرم,ciepły,caloroso,cald,теплый,топло,උණුසුම්,teplý,topel,cálido,varm,теплий,گرم,cynnes
187,old (used),ou,i vjetër,հին,পুরাতন,star,стар,vell,star,starý,gammel,oud,old,ancien,vello,alt,παλαιός,જૂનું,पुराना,gamall,sean,vecchio,vecs,senas,стар,जुने,पुरानो,gammel,قدیمي,قدیمی,stary,velho,vechi,старый,стари,පැරණි,starý,star,desgastado,gammal,старий,پرانا,oesol
188,old (aged),ou,i vjetër,հին,বয়সী,star,стар,vell,star,starý,gammel,oud,old,vieux,vello,alt,ηλικιωμένος,વૃદ્ધ,पुराना,gamall,sean,vecchio,vecs,senas,стар,वृद्ध,वृद्ध,gammel,مسن,پیر,stary,idoso,vechi,старый,стари,පැරණි,starý,star,viejo,gammal,старий,پرانا,hen
189,bad,slegte,i keq,վատ,খারাপ,loš,лошо,mal,loše,špatný,dårlig,slecht,bad,mal,malo,Schlecht,κακός,ખરાબ,बुरा,slæmur,dona,cattivo,slikts,blogas,лошо,वाईट,नराम्रो,dårlig,بد,بد,zły,ruim,rău,плохой,лош,නරක,zlý,slab,malo,dålig,погано,برا,drwg
190,rotten,vrot,i kalbur,փտած,পচা,pokvaren,гнило,podrit,truo,shnilý,rådden,verrot,rotten,pourri,podre,verfault,σάπιος,સડેલું,सड़ा,rotinn,lofa,marcio,trūdēt,supuvęs,скапани,कुजलेला,सडेको,råtten,وروست,پوسیده,zgniły,podre,putred,гнилой,покварен,නරක් වෙලා,zhnitý,pokvarjen,podrido,rutten,гнилий,بوسیدہ,pwdr
191,dirty,vuil,i pistë,կեղտոտ,নোংরা,prljav,мръсен,brut,prljavo,špinavý,snavset,vies,dirty,sale,sucio,schmutzig,βρώμικος,ગંદા,गंदा,skítugur,salach,sporco,netīrs,purvinas,валкани,गलिच्छ,फोहोर,skitten,ناپاکه,کثیف,brudny,sujo,murdar,грязный,прљав,අපිරිසිදු,špinavý,umazan,sucio,smutsig,брудний,گندا,budr
192,straight,reguit,i drejt,ուղիղ,সোজা,prav,прав,recte,ravno,rovný,lige,rechtdoor,straight,droit,recto,gerade,ευθύς,સીધા,सीधा,beinn,díreach,dritto,taisns,tiesus,директно,सरळ,सिधा,rett,مستقیم,راست,prosty,direto,drept,прямой,раван,කෙලින්ම,rovno,naravnost,recto,rad,прямий,سیدھا,syth
193,fast,vinnig,i shpejtë,արագ,দ্রুত,brz,бърз,ràpid,brzo,rychlý,hurtig,snel,fast,vite,rápido,schnell,γρήγορος,ઝડપી,तेज,hraður,tapa,veloce,ātrs,greitas,брзо,जलद,छिट्टो,rask,چټک,سریع,szybki,rápido,rapid,быстрый,брз,ඉක්මනින්,rýchlo,hiter,rápido,snabb,швидкий,تیز,cyflym
194,sharp,skerp,i mprehtë,սուր,তীক্ষ্ণ,oštar,остър,agut,oštar,ostrý,skarp,scherp,sharp,tranchant,afiado,Scharf,αιχμηρός,તીક્ષ્ણ,तेज़,skarpur,géar,affilato,ass,aštrus,остар,तीक्ष्ण,तीक्ष्ण,skarp,تیز,تیز,ostry,afiado,ascuțit,острый,оштар,ඉඳිකටුව,ostrý,oster,afilado,skarp,гострий,تیز,miniog
195,smooth,gladde,i lëmuar,հարթ,মসৃণ,gladak,гладка,llis,gladak,hladký,glat,zacht,smooth,lisse,suave,glatt,λείος,સરળ,निर्बाध,sléttur,réidh,liscio,gluds,lygus,мазна,गुळगुळीत,चिल्लो,glatt,نرم,صاف,gładki,suave,neted,гладкий,гладак,පහසු,hladký,gladek,liso,slät,гладкий,ہموار,llyfn
196,wet,nat,i lagur,թաց,ভিজা,mokar,мокър,humit,mokar,mokrý,våd,nat,wet,humide,mollado,nass,βρεγμένος,ભીનું,गीला,blautur,fliuch,bagnato,slapjš,šlapias,влажни,ओले,भिजेको,våt,لوند,مرطوب,mokry,molhado,umed,влажный,мокар,තෙත,mokrý,moker,húmedo,våt,мокрий,گیلا,gwlyb
197,right (correct),regs,drejtë,ճիշտ,ঠিক,pravo,право,adequat,pravo,správný,ret,juiste,right,correct,correcto,richtig,σωστός,સાચો,सही,réttur,ceart,corretto,pareizs,teisingas,точно,बरोबर,सही,riktig,سمه ده,درست,prawidłowy,certo,drept,правильно,прави,නිවැරදි,správny,prav,correcto,rätt,правильно,صحیح,iawn
198,near,naby,afër,մոտ,কাছাকাছি,blizak,близо до,prop,blizu,blízko,nær ved,dichtbij,near,près,cerca,nah,κοντά,નજીક,पास में,nálægur,in aice,vicino,tuvs,artimas,во близина,जवळ,नजिकै,nær,نږدې,نزدیک,blisko,perto,aproape,близко,близу,ළඟ,blízko,blizu,cerca,nära,біля,قریب,yn ymyl
199,far,ver,larg,հեռու,দূর,daleko,далеч,lluny,daleko,daleko,langt fra,ver,far,loin,lonxe,weit,μακριά,દૂર,दूर,langur,i bhfad,lontano,tāls,tolimas,далеку,दूर,टाढा,lang,لرې,دور,daleko,distante,departe,далеко,далеко,දුරින්,ďaleko,daleč,lejos,bort,далеко,دور,pell
200,right (of direction),regs,djathtas,աջ,ডান,desno,десен,dreta,desno,vpravo,højre,recht,right,droite,dereita,Rechts,δεξιά,જમણું,दाया,hægri,deas,destra,labais,dešinė,десно,उजवीकडे,दायाँ,riktig,راست,راست,prawidłowy,direita,dreapta,право,десно,අයිතිය,vpravo,desni,derecha,höger,правильно,صحیح,iawn
201,left (of direction),links,majtas,ձախ,বাম,lijevo,наляво,esquerra,lijevo,vlevo,venstre,links,left,gauche,esquerda,links,αριστερά,બાકી,बायाँ,vinstri,clé,sinistra,kreisais,kairė,лево,बाकी,बायाँ,venstre,چپ,چپ,lewy,esquerda,stânga,лево,лево,වම්,vľavo,levi,izquierda,vänster,ліворуч,بائیں,chwith
202,at,by,në,–ում,এ,kod,в,a les,na,na,på,bij,at,à,no,bei,σε,ખાતે,पर,á,ag,a,plkst,adresu,на,येथे,मा,at,په,در,w,no,la,в,у,දී,pri,pri,en,på,на,پر,yn
203,in,in,në,մեջ,ভিতর,u,в,en,u,v,i,in,in,dans,en,in,μέσα σε,માં,में,inni í,i,in,iekšā,in,во,मध्ये,मा,i,په منځ کی,در,w,dentro,în,в,унутра,තුල,v,notri,en,i,в,میں,mewn
204,and,en,dhe,և,এবং,i,и,i,i,a,og,en,and,et,e,und,και,અને,और,og,agus,e,un,ir,и,आणि,र,og,او,و,oraz,e,și,и,и,හා,a,in,y,och,і,اور,a
205,if,as,nëse,եթե,যদি,ako,ако,si,ako,kdyby,hvis,indien,if,si,se,Wenn,αν,જો,अगर,ef,dá,se,ja,jeigu,ако,तर,यदि,hvis,کچیري,اگر,jeśli,se,dacă,если,ако,නම්,ak,če,si,om,якщо,اگر,os
206,because,omdat,sepse,քանի որ,কারণ,jer,защото,perquè,jer,protože,fordi,omdat,because,parce que,porque,da,επειδή,કારણ કે,क्योंकि,vegna þess,mar,perché,jo,nes,бидејќи,कारण,किनभने,fordi,ځکه,زیرا,ponieważ,porque,deoarece,так как,јер,නිසා,pretože,ker,porque,därför att,оскільки,کیونکہ,o achos
207,soil,grond,dhe,հող,মাটি,tlo,почва,sòl,tlo,půda,jord,bodem,soil,sol,chan,Boden,έδαφος,માટી,मिट्टी,jarðvegur,ithir,suolo,zeme,dirva,почва,माती,माटो,jord,خاوره,خاک,gleba,solo,sol,почва,тло,පස,pôda,prst,suelo,jord,ґрунт,مٹی,pridd
208,elder brother,ouer broer,vëlla i madh,երեց եղբայր,বড় ভাই,stariji brat,по-голям брат,germà gran,stariji brat,starší bratr,ældre bror,oudere broer,elder brother,grand frère,irmán maior,älterer Bruder,μεγαλύτερος αδελφός,મોટો ભાઈ,बड़ा भाई,eldri bróðir,deartháir is sine,fratello maggiore,vecais brālis,vyresnysis brolis,постар брат,मोठा भाऊ,जेठो भाइ,eldre bror,مشر ورور,برادر بزرگ,starszy brat,irmão mais velho,frate mai mare,старший брат,старији брат,වැඩිමහල් සහෝදරයා,starší brat,starejši brat,hermano mayor,äldre bror,старший брат,بڑے بھائی,hen frawd
209,elder sister,ouer suster,motër e madhe,երեց քույր,বড় বোন,starija sestra,по-голяма сестра,germana gran,starija sestra,starší sestra,ældre søster,oude zus,elder sister,grande sœur,irmá maior,ältere Schwester,μεγαλύτερη αδελφή,મોટી બહેન,दीदी,eldri systir,deirfiúr is sine,sorella maggiore,vecākā māsa,vyresnioji sesuo,постара сестра,मोठी बहीण,जेठी बहिनी,eldre søster,مشره خور,خواهر بزرگ,starsza siostra,irmã mais velha,sora mai mare,старшая сестра,старија сестра,වැඩිමහල් සහෝදරිය,staršia sestra,starejša sestra,hermana mayor,äldre syster,старша сестра,بڑی بہن,hen chwaer
210,younger brother,jong broer,vëlla i vogël,կրտսեր եղբայր,ছোট ভাই,mlađi brat,малък брат,germà jove,mlađi brat,mladší bratr,lillebror,jongere broer,younger brother,petit frère,irmán menor,junger Bruder,μικρός αδερφός,નાનો ભાઈ,छोटा भाई,yngri bróðir,deartháir níos óige,fratello minore,jaunākais brālis,jaunesnysis brolis,помлад брат,लहान भाऊ,कान्छो भाइ,lillebror,ځوان ورور,برادر کوچک,młodszy brat,irmão mais novo,frate mai mic,младший брат,млађи брат,බාල සහෝදරයා,mladý brat,mladi brat,hermano menor,yngre bror,молодший брат,چھوٹا بھائی,brawd ifanc
211,younger sister,jong suster,motër e vogël,կրտսեր քույր,ছোট বোন,mlađa sestra,млада сестра,germana jove,mlađa sestra,mladší sestra,lillesøster,jongere zus,younger sister,petite soeur,irmá menor,junge Schwester,μικρή αδερφή,નાની બહેન,छोटी बहन,yngri systir,deirfiúr óg,sorrella minore,jaunākā māsa,jaunesnioji sesuo,помлада сестра,धाकटी बहीण,कान्छी बहिनी,lillesøster,ځوانه خور,خواهر کوچک,młodsza siostra,irmã mais nova,sora tânără,младшая сестра,млађа сестра,බාල සහෝදරිය,mladá sestra,mlada sestra,hermana menor,yngre syster,молодша сестра,چھوٹی بہن,chwaer ifanc
212,daughter,dauther,bijë,դուստր,কন্যা,kćer,дъщеря,filla,kći,dcera,datter,dochter,daughter,fille,filla,Tochter,κόρη,પુત્રી,बेटी,dóttur,iníon,figlia,meita,dukra,ќерка,मुलगी,छोरी,datter,لور,دختر,córka,filha,fiica,дочь,кћерка,දුව,dcéra,hčerka,hija,dotter,дочка,بیٹی,merch
213,son,seun,bir,որդի,পুত্র,sin,син,fill,sin,syn,søn,zoon,son,fils,fillo,Sohn,γιός,પુત્ર,बेटा,sonur,mac,figlio,dēls,sūnus,син,मुलगा,छोरा,sønn,زوی,پسر,syn,filho,fiul,сын,син,පුතා,syn,sin,hijo,son,син,بیٹا,mab
214,uncle,oom,xhaxha,հորեղբայր,চাচা,dajdža,чичо,oncle,ujak,strýc,onkel,oom,uncle,oncle,tío,Onkel,θείος,કાકા,चाचा,frændi,uncail,zio,tēvocis,dėdė,вујко,काका,काका,onkel,تره,عمو,wujek,tio,unchiul,дядя,ујак,මාමා,strýko,stric,tío,farbror,дядько,چچا,ewythr
215,grandfather,oupa,gjysh,պապիկ,দাদা,đed,дядо,avi,djed,dědeček,bedstefar,opa,grandfather,grand-père,avó,Großvater,παππούς,દાદા,दादा,afi,seanathair,nonno,vectēvs,senelis,дедо,आजोबा,हजुरबुवा,farfar,نیکه,پدر بزرگ,dziadek,avô,bunicul,дедушка,деда,සීයා,starý otec,dedek,abuelo,farfar,дідусь,دادا,taid
216,grandmother,ouma,gjyshe,տատիկ,দাদী,baka,баба,àvia,baka,babička,bedstemor,oma,grandmother,grand-mère,avoa,Oma,γιαγιά,દાદી,दादी,ömmu,seanmháthair,nonna,vecmāte,močiutė,баба,आजी,हजुरआमा,bestemor,نیا,مادر بزرگ,babcia,avó,bunica,бабушка,бака,ආච්චි,stará mama,babica,abuela,mormor,бабуся,دادی,nain
217,grandson,kleinseun,nip,թոռնիկ,নাতি,unuk,внук,nét,unuk,vnuk,sønnesøn,kleinzoon,grandson,petit fils,neto,Enkel,εγγονός,પૌત્ર,पोता,barnabarn,garmhac,nipote,mazdēls,anūkas,внук,नातू,नातिनी,barnebarn,لمسی,نوه پسر,wnuk,neto,nepotul,внук,унук,මුණුපුරා,vnuk,vnuk,nieto,barnbarn,онук,پوتا,wyr
218,high,hoë,i lartë,բարձր,উচ্চ,visoko,високо,alt,visok,vysoký,høj,hoog,high,haut,alto,hoch,υψηλός,ઉચ્ચ,ऊँचा,hár,ard,alto,augsts,aukštas,високо,उच्च,उच्च,høy,لوړ,بلند,wysoki,alto,înalt,высокий,висок,උස,vysoký,visok,alto,hög,високий,اونچا,uchel
219,low,lae,i ulët,ցածր,কম,nizak,ниско,baix,nisko,nízký,lav,laag,low,bas,baixo,niedrig,χαμηλός,નીચું,नीच,lágur,íseal,basso,zems,žemas,низок,कमी,कम,lav,ټیټ,کوتاه,niski,baixo,scăzut,низкий,низак,කොට,nízky,nizk,bajo,låg,низький,نیچا,isel
220,slow,stadige,i ngadalshëm,դանդաղ,ধীর,spor,бавен,lent,usporiti,pomalý,langsom,traag,slow,lent,lento,langsam,αργός,ધીમું,धीमा,hægur,mall,lento,lēns,lėtas,бавно,मंद,बिस्तारै,sakte,ورو,آهسته,powolny,lento,încet,медленный,спор,හෙමින්,pomalý,počasi,lento,långsam,повільно,آهسته,araf
221,deep,diep,i thellë,խորը,গভীর,dubok,дълбок,profunda,duboko,hluboký,dyb,diep,deep,profond,profundo,tief,βαθύς,ઊંડા,गहरा,djúpur,domhain,profondo,dziļš,gilus,длабоко,खोल,गहिरो,dyp,ژور,عمیق,głęboki,profundo,adânc,глубокий,дубок,ගැඹුරු,hlboký,globok,profundo,djup,глибоко,گہرا,dwfn
222,shallow (not deep),vlak,i cekët,ծանծաղ,অগভীর,plitak,плитък,superficial,plitak,nehluboký,lav,ondiep,shallow,peu profond,pouco profundo,seicht,ρηχός,છીછરું,उथला,grunnur,éadomhain,superficiale,sekls,negilus,плитко,उथळ,उथलपुथल,grunn,هل,کم عمق,nie głęboko,raso,nu adanc,неглубокий,плитак,නොගැඹුරු,plytký,plitev,poco profundo,ytlig,не глибоко,اوچھے,bas
223,easy,maklik,i lehtë,հեշտ,সহজ,lako,лесно,fàcil,lako,snadný,let,eenvoudig,easy,facile,fácil,leicht,εύκολος,સરળ,आसान,auðveldur,éasca,facile,viegls,lengvas,лесно,सोपे,सजिलो,lett,اسانه,آسان,łatwo,fácil,uşor,лёгкий,лак,පහසු,ľahký,enostaven,fácil,enkel,легко,آسان,hawddgar
224,difficult,moeilik,i vështirë,դժվար,কঠিন,težak,труден,difícil,teško,obtížný,svær,moeilijk,difficult,difficile,difícil,schwer,δύσκολος,મુશ્કેલ,मुश्किल,erfiður,deacair,difficile,grūts,sunkus,тешко,अवघड,गाह्रो,vanskelig,ستونزمن,دشوار,trudny,difícil,dificil,трудный,тежак,අමාරු,ťažký,težek,difícil,svår,важко,مشکل,anodd
